,SFDR1T   Curncy,SF0001W  Index,SF0001M  Index,SF0002M  Index,SF0003M  Index,SF0006M  Index,SF0012M  Index,SFSW2    Curncy,SFSW3    Curncy,SFSW4    Curncy,SFSW5    Curncy,SFSW6    Curncy,SFSW7    Curncy,SFSW8    Curncy,SFSW9    Curncy,SFSW10   Curncy,SFSW12   Curncy,SFSW15   Curncy,SFSW20   Curncy,SFSW25   Curncy,SFSW30   Curncy
11/1/1989,,,7.5,7.5,7.5,7.5,,,,,,,,,,,,,,,
11/2/1989,,,7.5,7.5,7.5,7.5,,,,,,,,,,,,,,,
11/3/1989,,,7.5,7.5,7.5,7.5,,,,,,,,,,,,,,,
11/6/1989,,,7.5,7.5,7.5,7.5,,,,,,,,,,,,,,,
11/7/1989,,,7.5,7.5,7.5,7.5,,,,,,,,,,,,,,,
11/8/1989,,,7.5,7.5,7.5,7.5,,,,,,,,,,,,,,,
11/9/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/10/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/13/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/14/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/15/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/16/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/17/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/20/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/21/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/22/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/23/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/24/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/27/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/28/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/29/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
11/30/1989,,,,,,,,,,,,,,,,,,,,,
12/1/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
12/4/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
12/5/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
12/6/1989,,,7.375,7.6875,7.75,7.8125,,,,,,,,,,,,,,,
12/7/1989,,,8.125,8.125,8.0625,7.9375,,,,,,,,,,,,,,,
12/8/1989,,,8.125,8.125,8.0625,7.9375,,,,,,,,,,,,,,,
12/11/1989,,,8.125,8.125,8.0625,7.9375,,,,,,,,,,,,,,,
12/12/1989,,,8.125,8.125,8.0625,7.9375,,,,,,,,,,,,,,,
12/13/1989,,,8.125,8.125,8.0625,7.9375,,,,,,,,,,,,,,,
12/14/1989,,,8.125,8.125,8.0625,7.9375,,,,,,,,,,,,,,,
12/15/1989,,,8.125,8.125,8.0625,7.9375,,,,,,,,,,,,,,,
12/18/1989,,,8.75,8.6875,8.625,8.3125,,,,,,,,,,,,,,,
12/19/1989,,,8.75,8.6875,8.625,8.3125,,,,,,,,,,,,,,,
12/20/1989,,,8.75,8.6875,8.625,8.3125,,,,,,,,,,,,,,,
12/21/1989,,,8.75,8.6875,8.625,8.3125,,,,,,,,,,,,,,,
12/22/1989,,,8.875,8.6875,8.5625,8.375,,,,,,,,,,,,,,,
12/25/1989,,,8.875,8.6875,8.5625,8.375,,,,,,,,,,,,,,,
12/26/1989,,,8.875,8.6875,8.5625,8.375,,,,,,,,,,,,,,,
12/27/1989,,,8.875,8.6875,8.5625,8.375,,,,,,,,,,,,,,,
12/28/1989,,,8.875,8.6875,8.5625,8.375,,,,,,,,,,,,,,,
12/29/1989,,,,,,,,,,,,,,,,,,,,,
1/1/1990,,,9.375,9.25,9.25,8.8125,,,,,,,,,,,,,,,
1/2/1990,,,9.375,9.25,9.25,8.8125,,,,,,,,,,,,,,,
1/3/1990,,,9.375,9.25,9.25,8.8125,,,,,,,,,,,,,,,
1/4/1990,,,9.375,9.25,9.25,8.8125,,,,,,,,,,,,,,,
1/5/1990,,,9.375,9.25,9.25,8.8125,,,,,,,,,,,,,,,
1/8/1990,,,9.5625,9.3125,9.1875,9.0625,,,,,,,,,,,,,,,
1/9/1990,,,9.75,9.5,10.0625,9.1875,,,,,,,,,,,,,,,
1/10/1990,,,9.75,9.5,10.0625,9.1875,,,,,,,,,,,,,,,
1/11/1990,,,9.75,9.5,10.0625,9.1875,,,,,,,,,,,,,,,
1/12/1990,,,9.75,9.5,10.0625,9.1875,,,,,,,,,,,,,,,
1/15/1990,,,9.75,9.5,10.0625,9.1875,,,,,,,,,,,,,,,
1/16/1990,,,9.75,9.5,10.0625,9.1875,,,,,,,,,,,,,,,
1/17/1990,,,9.75,9.5,10.0625,9.1875,,,,,,,,,,,,,,,
1/18/1990,,,9.75,9.5,10.0625,9.1875,,,,,,,,,,,,,,,
1/19/1990,,,9.75,9.5,10.0625,9.1875,,,,,,,,,,,,,,,
1/22/1990,,,9.75,9.5,10.0625,9.1875,,,,,,,,,,,,,,,
1/23/1990,,,9.9375,9.9375,9.9375,9.8125,,,,,,,,,,,,,,,
1/24/1990,,,9.9375,9.9375,9.9375,9.8125,,,,,,,,,,,,,,,
1/25/1990,,,9.9375,9.9375,9.9375,9.8125,,,,,,,,,,,,,,,
1/26/1990,,,9.9375,9.9375,9.9375,9.8125,,,,,,,,,,,,,,,
1/29/1990,,,9.9375,9.9375,9.9375,9.8125,,,,,,,,,,,,,,,
1/30/1990,,,,,,,,,,,,,,,,,,,,,
1/31/1990,,,,,,,,,,,,,,,,,,,,,
2/1/1990,,,9.9375,9.9375,9.9375,9.8125,,,,,,,,,,,,,,,
2/2/1990,,,9.9375,9.9375,9.9375,9.8125,,,,,,,,,,,,,,,
2/5/1990,,,9.625,9.625,9.625,9.625,,,,,,,,,,,,,,,
2/6/1990,,,9.625,9.625,9.625,9.625,,,,,,,,,,,,,,,
2/7/1990,,,9.625,9.625,9.625,9.625,,,,,,,,,,,,,,,
2/8/1990,,,9.625,9.625,9.625,9.625,,,,,,,,,,,,,,,
2/9/1990,,,9.625,9.625,9.625,9.625,,,,,,,,,,,,,,,
2/12/1990,,,9.625,9.625,9.625,9.625,,,,,,,,,,,,,,,
2/13/1990,,,9.625,9.625,9.625,9.625,,,,,,,,,,,,,,,
2/14/1990,,,9.625,9.625,9.625,9.625,,,,,,,,,,,,,,,
2/15/1990,,,9.625,9.625,9.625,9.625,,,,,,,,,,,,,,,
2/16/1990,,,9.625,9.625,9.625,9.625,,,,,,,,,,,,,,,
2/19/1990,,,9.25,9.375,9.5,9.5625,,,,,,,,,,,,,,,
2/20/1990,,,9.25,9.375,9.5,9.5,,,,,,,,,,,,,,,
2/21/1990,,,9.25,9.375,9.5,9.5,,,,,,,,,,,,,,,
2/22/1990,,,9.25,9.375,9.5,9.5,,,,,,,,,,,,,,,
2/23/1990,,,9.25,9.375,9.5,9.5,,,,,,,,,,,,,,,
2/26/1990,,,9.25,9.375,9.5,9.5,,,,,,,,,,,,,,,
2/27/1990,,,9.25,9.375,9.5,9.5,,,,,,,,,,,,,,,
2/28/1990,,,,,,,,,,,,,,,,,,,,,
3/1/1990,,,9.25,9.375,9.5,9.5,,,,,,,,,,,,,,,
3/2/1990,,,9.25,9.375,9.5,9.5,,,,,,,,,,,,,,,
3/5/1990,,,9.25,9.375,9.5,9.5,,,,,,,,,,,,,,,
3/6/1990,,,9.25,9.375,9.5,9.5,,,,,,,,,,,,,,,
3/7/1990,,,9.25,9.375,9.5,9.5,,,,,,,,,,,,,,,
3/8/1990,,,9.25,9.375,9.5,9.5,,,,,,,,,,,,,,,
3/9/1990,,,9.25,9.375,9.5,9.5,,,,,,,,,,,,,,,
3/12/1990,,,8.9375,9.0625,9.125,9.1875,,,,,,,,,,,,,,,
3/13/1990,,,8.9375,9.0625,9.125,9.1875,,,,,,,,,,,,,,,
3/14/1990,,,8.9375,9.0625,9.125,9.1875,,,,,,,,,,,,,,,
3/15/1990,,,8.9375,9.0625,9.125,9.1875,,,,,,,,,,,,,,,
3/16/1990,,,8.75,8.8125,8.9375,9,,,,,,,,,,,,,,,
3/19/1990,,,8.9375,9,9,9.0625,,,,,,,,,,,,,,,
3/20/1990,,,8.9375,9,9,9.0625,,,,,,,,,,,,,,,
3/21/1990,,,8.9375,9,9,9.0625,,,,,,,,,,,,,,,
3/22/1990,,,8.9375,9,9,9.0625,,,,,,,,,,,,,,,
3/23/1990,,,8.9375,9,9,9.0625,,,,,,,,,,,,,,,
3/26/1990,,,8.9375,9,9,9.0625,,,,,,,,,,,,,,,
3/27/1990,,,9.125,9.125,9.125,8.1875,,,,,,,,,,,,,,,
3/28/1990,,,9.125,9.125,9.125,8.1875,,,,,,,,,,,,,,,
3/29/1990,,,9.125,9.125,9.125,8.1875,,,,,,,,,,,,,,,
3/30/1990,,,9.125,9.125,9.125,8.1875,,,,,,,,,,,,,,,
4/2/1990,,,9,9,8.9375,8.9375,,,,,,,,,,,,,,,
4/3/1990,,,9,9.0625,9.0625,9.0625,,,,,,,,,,,,,,,
4/4/1990,,,9,9.0625,9.0625,9.0625,,,,,,,,,,,,,,,
4/5/1990,,,9,9.0625,9.0625,9.0625,,,,,,,,,,,,,,,
4/6/1990,,,9.3125,9.25,9.25,9.0625,,,,,,,,,,,,,,,
4/9/1990,,,9.1875,9.1875,9.1875,9.1875,,,,,,,,,,,,,,,
4/10/1990,,,9.3125,9.375,9.375,9.1875,,,,,,,,,,,,,,,
4/11/1990,,,9.375,9.375,9.3125,9.25,,,,,,,,,,,,,,,
4/12/1990,,,9.375,9.375,9.3125,9.25,,,,,,,,,,,,,,,
4/13/1990,,,9.375,9.375,9.3125,9.25,,,,,,,,,,,,,,,
4/16/1990,,,9.375,9.25,9.25,9.125,,,,,,,,,,,,,,,
4/17/1990,,,9.375,9.3125,9.3125,9.25,,,,,,,,,,,,,,,
4/18/1990,,,9.5,9.4375,9.4375,9.3125,,,,,,,,,,,,,,,
4/19/1990,,,9.5,9.375,9.375,9.375,,,,,,,,,,,,,,,
4/20/1990,,,9.5625,9.4375,9.5625,9.4375,,,,,,,,,,,,,,,
4/23/1990,,,9.625,9.5625,9.625,9.4375,,,,,,,,,,,,,,,
4/24/1990,,,9.625,9.5625,9.625,9.4375,,,,,,,,,,,,,,,
4/25/1990,,,9.375,9.375,9.375,9.25,,,,,,,,,,,,,,,
4/26/1990,,,9.3125,9.375,9.375,9.3125,,,,,,,,,,,,,,,
4/27/1990,,,9.3125,9.3125,9.3125,9.3125,,,,,,,,,,,,,,,
4/30/1990,,,9.375,9.375,9.375,9.375,,,,,,,,,,,,,,,
5/1/1990,,,9.375,9.375,9.375,9.375,,,,,,,,,,,,,,,
5/2/1990,,,9.1875,9.1875,9.1875,9.1875,,,,,,,,,,,,,,,
5/3/1990,,,9.1875,9.1875,9.1875,9.1875,,,,,,,,,,,,,,,
5/4/1990,,,9.1875,9.1875,9.1875,9.125,,,,,,,,,,,,,,,
5/7/1990,,,8.9375,8.9375,9,8.9375,,,,,,,,,,,,,,,
5/8/1990,,,8.8125,8.8125,8.8125,8.8125,,,,,,,,,,,,,,,
5/9/1990,,,8.8125,8.8125,8.8125,8.875,,,,,,,,,,,,,,,
5/10/1990,,,8.9375,8.9375,8.9375,8.8125,,,,,,,,,,,,,,,
5/11/1990,,,8.9375,8.9375,9,9,,,,,,,,,,,,,,,
5/14/1990,,,8.9375,8.9375,8.9375,8.875,,,,,,,,,,,,,,,
5/15/1990,,,8.875,8.875,8.8125,8.8125,,,,,,,,,,,,,,,
5/16/1990,,,8.6875,8.75,8.75,8.6875,,,,,,,,,,,,,,,
5/17/1990,,,8.625,8.625,8.6875,8.6875,,,,,,,,,,,,,,,
5/18/1990,,,8.8125,8.8125,8.8125,8.8125,,,,,,,,,,,,,,,
5/21/1990,,,8.8125,8.8125,8.8125,8.8125,,,,,,,,,,,,,,,
5/22/1990,,,8.875,8.875,8.875,8.875,,,,,,,,,,,,,,,
5/23/1990,,,8.875,8.875,8.875,8.875,,,,,,,,,,,,,,,
5/24/1990,,,8.75,8.9375,8.6875,8.75,,,,,,,,,,,,,,,
5/25/1990,,,8.8125,8.875,8.875,8.875,,,,,,,,,,,,,,,
5/28/1990,,,8.75,8.75,8.6875,8.6875,,,,,,,,,,,,,,,
5/29/1990,,,,,,,,,,,,,,,,,,,,,
5/30/1990,,,,,,,,,,,,,,,,,,,,,
5/31/1990,,,,,,,,,,,,,,,,,,,,,
6/1/1990,,,8.8125,8.75,8.75,8.75,,,,,,,,,,,,,,,
6/4/1990,,,8.8125,8.75,8.75,8.75,,,,,,,,,,,,,,,
6/5/1990,,,8.875,8.875,8.875,8.75,,,,,,,,,,,,,,,
6/6/1990,,,8.9375,8.9375,8.875,8.8125,,,,,,,,,,,,,,,
6/7/1990,,,9,9,9,8.8125,,,,,,,,,,,,,,,
6/8/1990,,,9.0625,9.0625,9,8.9375,,,,,,,,,,,,,,,
6/11/1990,,,9.0625,9,9,8.875,,,,,,,,,,,,,,,
6/12/1990,,,9,8.9375,9,8.8125,,,,,,,,,,,,,,,
6/13/1990,,,9,8.9375,9,8.8125,,,,,,,,,,,,,,,
6/14/1990,,,8.875,8.8125,8.8125,8.625,,,,,,,,,,,,,,,
6/15/1990,,,9,9,8.9375,8.8125,,,,,,,,,,,,,,,
6/18/1990,,,9,9,8.9375,8.8125,,,,,,,,,,,,,,,
6/19/1990,,,8.875,8.9375,9,8.8125,,,,,,,,,,,,,,,
6/20/1990,,,8.9375,8.875,9,8.6875,,,,,,,,,,,,,,,
6/21/1990,,,9,8.875,9,8.8125,,,,,,,,,,,,,,,
6/22/1990,,,9,8.875,9,8.8125,,,,,,,,,,,,,,,
6/25/1990,,,8.9375,8.9375,8.9375,8.6875,,,,,,,,,,,,,,,
6/26/1990,,,8.9375,8.875,8.875,8.75,,,,,,,,,,,,,,,
6/27/1990,,,8.875,8.875,8.8125,8.6875,,,,,,,,,,,,,,,
6/28/1990,,,9.0625,9,8.875,8.625,,,,,,,,,,,,,,,
6/29/1990,,,8.9375,8.9375,8.9375,8.6875,,,,,,,,,,,,,,,
7/2/1990,,,9.125,9.0625,8.9375,8.8125,,,,,,,,,,,,,,,
7/3/1990,,,9.125,9.125,9.0625,8.9375,,,,,,,,,,,,,,,
7/4/1990,,,9,8.9375,9.0625,8.875,,,,,,,,,,,,,,,
7/5/1990,,,9.125,9.0625,9.0625,8.875,,,,,,,,,,,,,,,
7/6/1990,,,9.125,9.0625,9.1875,9,,,,,,,,,,,,,,,
7/9/1990,,,9.0625,9.1875,9.125,9,,,,,,,,,,,,,,,
7/10/1990,,,9.3125,9.25,9.25,8.875,,,,,,,,,,,,,,,
7/11/1990,,,9.0625,9.0625,9,8.9375,,,,,,,,,,,,,,,
7/12/1990,,,8.9375,8.9375,8.9375,8.875,,,,,,,,,,,,,,,
7/13/1990,,,8.875,8.875,8.875,8.75,,,,,,,,,,,,,,,
7/16/1990,,,8.875,8.875,8.875,8.8125,,,,,,,,,,,,,,,
7/17/1990,,,8.9375,8.9375,8.9375,9,,,,,,,,,,,,,,,
7/18/1990,,,8.875,8.9375,8.9375,8.875,,,,,,,,,,,,,,,
7/19/1990,,,9,8.8125,8.8125,8.875,,,,,,,,,,,,,,,
7/20/1990,,,8.9375,9,8.875,9,,,,,,,,,,,,,,,
7/23/1990,,,8.9375,8.9375,8.9375,8.875,,,,,,,,,,,,,,,
7/24/1990,,,8.875,9,8.875,8.75,,,,,,,,,,,,,,,
7/25/1990,,,8.9375,8.875,8.875,8.9375,,,,,,,,,,,,,,,
7/26/1990,,,9,9,9,8.9375,,,,,,,,,,,,,,,
7/27/1990,,,8.875,8.9375,8.9375,8.9375,,,,,,,,,,,,,,,
7/30/1990,,,8.875,8.875,8.875,8.875,,,,,,,,,,,,,,,
7/31/1990,,,,,,,,,,,,,,,,,,,,,
8/1/1990,,,8.9375,8.9375,8.9375,8.8125,,,,,,,,,,,,,,,
8/2/1990,,,8.875,8.875,8.875,8.875,,,,,,,,,,,,,,,
8/3/1990,,,9,9,8.9375,9.0625,,,,,,,,,,,,,,,
8/6/1990,,,9.125,9.125,9.125,9.125,,,,,,,,,,,,,,,
8/7/1990,,,9.25,9.25,9.25,9.1875,,,,,,,,,,,,,,,
8/8/1990,,,8.9375,8.9375,8.9375,8.9375,,,,,,,,,,,,,,,
8/9/1990,,,9,9,9,9,,,,,,,,,,,,,,,
8/10/1990,,,8.875,8.9375,9.0625,9.125,,,,,,,,,,,,,,,
8/13/1990,,,8.875,8.875,9.0625,9.0625,,,,,,,,,,,,,,,
8/14/1990,,,8.875,8.875,9.0625,9.0625,,,,,,,,,,,,,,,
8/15/1990,,,9,9.125,9.125,9.125,,,,,,,,,,,,,,,
8/16/1990,,,8.9375,9,9,9,,,,,,,,,,,,,,,
8/17/1990,,,8.9375,9,9,9,,,,,,,,,,,,,,,
8/20/1990,,,8.875,8.9375,8.8125,9,,,,,,,,,,,,,,,
8/21/1990,,,8.75,8.8125,8.8125,8.875,,,,,,,,,,,,,,,
8/22/1990,,,8.8125,8.875,8.875,8.9375,,,,,,,,,,,,,,,
8/23/1990,,,8.8125,8.8125,8.875,8.875,,,,,,,,,,,,,,,
8/24/1990,,,8.5625,8.625,8.6875,8.6875,,,,,,,,,,,,,,,
8/27/1990,,,8.5625,8.625,8.6875,8.6875,,,,,,,,,,,,,,,
8/28/1990,,,8.375,8.5,8.5625,8.75,,,,,,,,,,,,,,,
8/29/1990,,,8.5,8.625,8.75,8.8125,,,,,,,,,,,,,,,
8/30/1990,,,8.125,8.375,8.5,8.625,,,,,,,,,,,,,,,
8/31/1990,,,8.3125,8.5625,8.625,8.6875,,,,,,,,,,,,,,,
9/3/1990,,,8.3125,8.5625,8.625,8.6875,,,,,,,,,,,,,,,
9/4/1990,,,8.3125,8.5625,8.625,8.6875,,,,,,,,,,,,,,,
9/5/1990,,,8.3125,8.5625,8.625,8.6875,,,,,,,,,,,,,,,
9/6/1990,,,8.3125,8.5625,8.625,8.6875,,,,,,,,,,,,,,,
9/7/1990,,,8.3125,8.5625,8.625,8.6875,,,,,,,,,,,,,,,
9/10/1990,,,8.3125,8.5625,8.625,8.6875,,,,,,,,,,,,,,,
9/11/1990,,,8.3125,8.5625,8.625,8.6875,,,,,,,,,,,,,,,
9/12/1990,,,8.3125,8.5625,8.625,8.6875,,,,,,,,,,,,,,,
9/13/1990,,,8.3125,8.5625,8.625,8.6875,,,,,,,,,,,,,,,
9/14/1990,,,7.9375,8.1875,8.3125,8.5,,,,,,,,,,,,,,,
9/17/1990,,,7.6875,7.9375,8,8.25,,,,,,,,,,,,,,,
9/18/1990,,,7.6875,8.0625,8.125,8.4375,,,,,,,,,,,,,,,
9/19/1990,,,7.875,7.9375,8,8.3125,,,,,,,,,,,,,,,
9/20/1990,,,7.9375,8.0625,8,8.3125,,,,,,,,,,,,,,,
9/21/1990,,,7.875,8,8.0625,8.3125,,,,,,,,,,,,,,,
9/24/1990,,,8.125,8.1875,8.25,8.5,,,,,,,,,,,,,,,
9/25/1990,,,8.0625,8.1875,8.25,8.4375,,,,,,,,,,,,,,,
9/26/1990,,,8.0625,8.1875,8.25,8.4375,,,,,,,,,,,,,,,
9/27/1990,,,8.0625,8.1875,8.25,8.4375,,,,,,,,,,,,,,,
9/28/1990,,,,,,,,,,,,,,,,,,,,,
10/1/1990,,,8.0625,8.1875,8.25,8.4375,,,,,,,,,,,,,,,
10/2/1990,,,8.0625,8.1875,8.25,8.4375,,,,,,,,,,,,,,,
10/3/1990,,,8.0625,8.1875,8.25,8.4375,,,,,,,,,,,,,,,
10/4/1990,,,8.0625,8.1875,8.25,8.4375,,,,,,,,,,,,,,,
10/5/1990,,,8.0625,8.1875,8.25,8.4375,,,,,,,,,,,,,,,
10/8/1990,,,7.6875,7.75,7.875,8.25,,,,,,,,,,,,,,,
10/9/1990,,,7.75,7.875,8,8.1875,,,,,,,,,,,,,,,
10/10/1990,,,7.75,7.9375,8.0625,8.3125,,,,,,,,,,,,,,,
10/11/1990,,,7.75,7.9375,8.0625,8.3125,,,,,,,,,,,,,,,
10/12/1990,,,7.5625,7.75,7.875,8.125,,,,,,,,,,,,,,,
10/15/1990,,,7.8125,7.875,8.125,8.25,,,,,,,,,,,,,,,
10/16/1990,,,7.875,8,8.125,8.25,,,,,,,,,,,,,,,
10/17/1990,,,7.875,8,8.125,8.25,,,,,,,,,,,,,,,
10/18/1990,,,7.8125,7.875,8.0625,8.125,,,,,,,,,,,,,,,
10/19/1990,,,7.8125,7.9375,8.0625,8.125,,,,,,,,,,,,,,,
10/22/1990,,,7.875,7.875,8.0625,8.25,,,,,,,,,,,,,,,
10/23/1990,,,7.875,7.875,8.0625,8.25,,,,,,,,,,,,,,,
10/24/1990,,,8.1875,8.0625,8.1875,8.3125,,,,,,,,,,,,,,,
10/25/1990,,,8.1875,8.0625,8.1875,8.3125,,,,,,,,,,,,,,,
10/26/1990,,,8.1875,8.0625,8.1875,8.3125,,,,,,,,,,,,,,,
10/29/1990,,,8.1875,8.0625,8.1875,8.3125,,,,,,,,,,,,,,,
10/30/1990,,,8.125,8.3125,8.3125,8.1875,,,,,,,,,,,,,,,
10/31/1990,,,,,,,,,,,,,,,,,,,,,
11/1/1990,,,8.25,8.4375,8.4375,8.4375,,,,,,,,,,,,,,,
11/2/1990,,,8.3125,8.4375,8.4375,8.5625,,,,,,,,,,,,,,,
11/5/1990,,,8.3125,8.4375,8.4375,8.5625,,,,,,,,,,,,,,,
11/6/1990,,,8.3125,8.4375,8.4375,8.5625,,,,,,,,,,,,,,,
11/7/1990,,,8.5,8.5625,8.625,8.4375,,,,,,,,,,,,,,,
11/8/1990,,,8.5,8.5625,8.625,8.4375,,,,,,,,,,,,,,,
11/9/1990,,,8.5,8.5625,8.625,8.4375,,,,,,,,,,,,,,,
11/12/1990,,,8.0625,8.4375,8.375,8.375,,,,,,,,,,,,,,,
11/13/1990,,,8.0625,8.4375,8.375,8.375,,,,,,,,,,,,,,,
11/14/1990,,,8.3125,8.625,8.625,8.5625,,,,,,,,,,,,,,,
11/15/1990,,,8.4375,8.75,8.6875,8.5,,,,,,,,,,,,,,,
11/16/1990,,,8.375,8.75,8.6875,8.5625,,8.17,7.98,7.74,7.73,,7.56,,,7.48,,,,,
11/19/1990,,,8.375,8.8125,8.6875,8.625,,8.17,7.98,7.74,7.73,,7.56,,,7.48,,,,,
11/20/1990,,,8.375,8.625,8.75,8.625,,8.17,7.98,7.74,7.73,,7.56,,,7.48,,,,,
11/21/1990,,,8.375,8.625,8.75,8.625,,8.17,7.98,7.74,7.73,,7.56,,,7.48,,,,,
11/22/1990,,,8.3125,8.6875,8.6875,8.5625,,8.18,8.01,7.74,7.73,,7.56,,,7.48,,,,,
11/23/1990,,,8.3125,8.75,8.75,8.625,,8.18,8.02,7.75,7.74,,7.56,,,7.48,,,,,
11/26/1990,,,8.3125,8.75,8.75,8.625,,8.2,8.01,7.75,7.74,,7.56,,,7.48,,,,,
11/27/1990,,,9.1875,9.125,9,8.8125,,8.23,8.06,7.81,7.78,,7.58,,,7.48,,,,,
11/28/1990,,,9.1875,9.125,9,8.8125,,8.28,8.08,7.84,7.83,,7.63,,,7.58,,,,,
11/29/1990,,,9.19,9.13,9,8.81,,8.31,8.12,7.88,7.86,,7.65,,,7.59,,,,,
11/30/1990,,,9.19,9.13,9,8.81,,8.31,8.12,7.88,7.86,,7.65,,,7.59,,,,,
12/3/1990,,,9.1875,9.125,9,8.8125,,8.3,8.1,7.84,7.83,,7.63,,,7.55,,,,,
12/4/1990,,,8.6875,8.75,8.75,8.6875,,8.31,8.1,7.84,7.83,,7.63,,,7.55,,,,,
12/5/1990,,,8.75,8.875,8.875,8.75,,8.32,8.14,7.84,7.83,,7.63,,,7.55,,,,,
12/6/1990,,,8.75,8.875,8.875,8.75,,8.31,8.15,7.84,7.83,,7.63,,,7.55,,,,,
12/7/1990,,,8.875,8.8125,8.8125,8.6875,,8.28,8.12,7.82,7.81,,7.63,,,7.55,,,,,
12/10/1990,,,8.875,8.8125,8.8125,8.6875,,8.21,8.08,7.78,7.78,,7.6,,,7.5,,,,,
12/11/1990,,,8.875,8.8125,8.8125,8.6875,,8.18,8.06,7.78,7.78,,7.6,,,7.5,,,,,
12/12/1990,,,8.875,8.8125,8.8125,8.6875,,8.18,8.06,7.78,7.78,,7.6,,,7.5,,,,,
12/13/1990,,,8.875,8.8125,8.8125,8.6875,,8.23,8.06,7.78,7.78,,7.6,,,7.5,,,,,
12/14/1990,,,8.875,8.8125,8.8125,8.6875,,8.24,8.09,7.8,7.8,,7.61,,,7.51,,,,,
12/17/1990,,,8.875,8.8125,8.8125,8.6875,,8.24,8.11,7.81,7.81,,7.62,,,7.52,,,,,
12/18/1990,,,8.875,8.8125,8.8125,8.6875,,8.24,8.11,7.81,7.81,,7.62,,,7.52,,,,,
12/19/1990,,,9.375,9.25,9.25,8.875,,8.21,8.1,7.81,7.81,,7.62,,,7.52,,,,,
12/20/1990,,,9.375,9.25,9.25,8.875,,8.21,8.12,7.81,7.81,,7.62,,,7.52,,,,,
12/21/1990,,,9.375,9.25,9.25,8.875,,8.26,8.15,7.86,7.86,,7.65,,,7.53,,,,,
12/24/1990,,,9.375,9.25,9.25,8.875,,8.28,8.17,7.88,7.88,,7.67,,,7.55,,,,,
12/25/1990,,,9.375,9.25,9.25,8.875,,,,,,,,,,,,,,,
12/26/1990,,,9,8.875,8.875,8.625,,,,,,,,,,,,,,,
12/27/1990,,,8.6875,8.6875,8.6875,8.6875,,8.28,8.18,7.88,7.88,,7.68,,,7.56,,,,,
12/28/1990,,,8.75,8.6875,8.6875,8.6875,,8.28,8.18,7.88,7.88,,7.68,,,7.56,,,,,
12/31/1990,,,8.75,8.69,8.69,8.69,,8.28,8.18,7.88,7.88,,7.68,,,7.56,,,,,
1/2/1991,,,8.75,8.69,8.69,8.69,,8.28,8.18,7.88,7.88,,7.68,,,7.56,,,,,
1/3/1991,,,8.75,8.69,8.69,8.69,,8.29,8.18,7.9,7.88,,7.68,,,7.56,,,,,
1/4/1991,,,8.75,8.69,8.69,8.69,,8.28,8.18,7.9,7.88,,7.68,,,7.56,,,,,
1/7/1991,,,8.88,8.88,8.88,8.88,,8.33,8.19,7.93,7.91,,7.68,,,7.56,,,,,
1/8/1991,,,8.94,8.94,8.94,8.75,,8.33,8.19,7.93,7.91,,7.68,,,7.56,,,,,
1/9/1991,,,8.94,8.94,8.94,8.75,,8.34,8.21,7.94,7.93,,7.68,,,7.56,,,,,
1/10/1991,,,8.94,8.94,8.94,8.75,,8.35,8.23,7.96,7.94,,7.68,,,7.56,,,,,
1/11/1991,,,9,8.94,8.94,8.88,,8.33,8.22,7.95,7.92,,7.68,,,7.56,,,,,
1/14/1991,,,8.75,8.75,8.75,8.75,,8.35,8.23,7.93,7.9,,7.68,,,7.56,,,,,
1/15/1991,,,8.88,8.88,8.88,8.75,,8.33,8.23,7.93,7.9,,7.68,,,7.56,,,,,
1/16/1991,,,8.88,8.88,8.88,8.75,,8.28,8.18,7.87,7.84,,7.62,,,7.51,,,,,
1/17/1991,,,8.56,8.56,8.56,8.75,,8.23,8.13,7.82,7.77,,7.56,,,7.46,,,,,
1/18/1991,,,8.56,8.63,8.63,8.5,,8.21,8.11,7.79,7.74,,7.53,,,7.44,,,,,
1/21/1991,,,,,,,,8.18,8.08,7.76,7.71,,7.5,,,7.41,,,,,
