Date,QuotedSpread,SURVIVAL::1Y,RECOVERY::1Y,SURVIVAL::2Y,RECOVERY::2Y,SURVIVAL::3Y,RECOVERY::3Y,SURVIVAL::4Y,RECOVERY::4Y,SURVIVAL::5Y,RECOVERY::5Y,SURVIVAL::6Y,RECOVERY::6Y,SURVIVAL::7Y,RECOVERY::7Y,SURVIVAL::8Y,RECOVERY::8Y,SURVIVAL::9Y,RECOVERY::9Y,SURVIVAL::10Y,RECOVERY::10Y,SURVIVAL::11Y,RECOVERY::11Y,SURVIVAL::12Y,RECOVERY::12Y,SURVIVAL::15Y,RECOVERY::15Y,SURVIVAL::20Y,RECOVERY::20Y,SURVIVAL::25Y,RECOVERY::25Y
09-SEP-2011,120.75,0.980041690792249,0.4,0.960534622807612,0.4,0.9414158298371224,0.4,0.9226775835288447,0.4,0.9042624990177155,0.4,0.8862637646679178,0.4,0.8686232829699182,0.4,0.8513339231466281,0.4,0.83434273746942,0.4,0.8177357087529711,0.4,0.8014592317275759,0.4,0.7855067269850621,0.4,0.7394884672272841,0.4,0.6687285235422602,0.4,0.6047061258627514,0.4
12-SEP-2011,125.25000000000001,0.9793056786496712,0.4,0.9590944086328604,0.4,0.9393002662245159,0.4,0.9199146425919614,0.4,0.9008776333632905,0.4,0.8822849901294465,0.4,0.8640760686904597,0.4,0.8462429496550962,0.4,0.8287305261144834,0.4,0.8116268813591819,0.4,0.7948762279016514,0.4,0.7784712805779349,0.4,0.7312182810949941,0.4,0.6587758326980516,0.4,0.5934764130779517,0.4
13-SEP-2011,121.75,0.9798780051851581,0.4,0.960214232707758,0.4,0.9409450644014862,0.4,0.922062581518704,0.4,0.9035088430344249,0.4,0.8853776142215168,0.4,0.8676102351493175,0.4,0.8501994042369366,0.4,0.8330916962332994,0.4,0.8163735685879631,0.4,0.7999909331738295,0.4,0.783937057476374,0.4,0.7376417050338182,0.4,0.6665028192256703,0.4,0.6021911910777679,0.4
14-SEP-2011,120.0,0.9801640861061428,0.4,0.9607742282062132,0.4,0.9417679454593715,0.4,0.9231376498833423,0.4,0.9048263709480787,0.4,0.8869268630947658,0.4,0.8693814479068279,0.4,0.8521831206321404,0.4,0.8352792896294827,0.4,0.818755580015707,0.4,0.8025587466728866,0.4,0.7866823232506069,0.4,0.7408721952969293,0.4,0.6703973971738445,0.4,0.6065932439778474,0.4
15-SEP-2011,115.75,0.9808598597265863,0.4,0.9621368662323475,0.4,0.943771263737352,0.4,0.9257562302381429,0.4,0.9080371261323981,0.4,0.8907041982563983,0.4,0.8737021273245791,0.4,0.8570245978247374,0.4,0.8406210268046059,0.4,0.8245749608351307,0.4,0.8088351877430482,0.4,0.7933958609035894,0.4,0.7487842142889648,0.4,0.6799597686067099,0.4,0.6174287141712873,0.4
16-SEP-2011,116.75000000000001,0.9806958824817129,0.4,0.9618156381047996,0.4,0.9432988740219302,0.4,0.9251385925522737,0.4,0.9072796084409419,0.4,0.8898127657310415,0.4,0.8726821926687931,0.4,0.8558814154296019,0.4,0.839359380004431,0.4,0.8232001297234618,0.4,0.8073519754710395,0.4,0.7918089280621899,0.4,0.7469124702815754,0.4,0.6776945460996631,0.4,0.6148584424278641,0.4
19-SEP-2011,118.50000000000001,0.9804085773110072,0.4,0.9612529421806199,0.4,0.942471577906017,0.4,0.9240571718258047,0.4,0.9059535771837701,0.4,0.8882526751606574,0.4,0.8708976208060376,0.4,0.8538816568027048,0.4,0.8371529003379055,0.4,0.8207962548756623,0.4,0.8047591924318492,0.4,0.7890354688590399,0.4,0.7436435033593931,0.4,0.6737429134254559,0.4,0.6103798025200069,0.4
20-SEP-2011,118.50000000000001,0.9804084136838678,0.4,0.961252621758733,0.4,0.9424711068789169,0.4,0.9240565562010141,0.4,0.9059528224192139,0.4,0.8882517873015708,0.4,0.8708966053414898,0.4,0.8538805190580778,0.4,0.8371516451652877,0.4,0.8207948876132851,0.4,0.8047577179390107,0.4,0.7890338918479418,0.4,0.7436416454149093,0.4,0.6737406691255359,0.4,0.610377260772889,0.4
21-SEP-2011,124.75,0.979386036263412,0.4,0.9592515983667272,0.4,0.9395310887622633,0.4,0.9202159978193079,0.4,0.9012466986104326,0.4,0.8827186667508039,0.4,0.8645715383276268,0.4,0.8467974826425845,0.4,0.8293416300431562,0.4,0.8122918387178201,0.4,0.7955925608283311,0.4,0.7792365904408239,0.4,0.7321170022202611,0.4,0.6598555831682803,0.4,0.5946926658900743,0.4
22-SEP-2011,129.25,0.9786502245387175,0.4,0.9578127371994629,0.4,0.9374189230620597,0.4,0.9174593354064288,0.4,0.8978717846006441,0.4,0.8787542373148317,0.4,0.8600437421499274,0.4,0.841731632124406,0.4,0.8237608507798911,0.4,0.8062212785524487,0.4,0.7890551600933304,0.4,0.7722545437994262,0.4,0.7239260227782403,0.4,0.6500310775677796,0.4,0.583644563661662,0.4
23-SEP-2011,132.75,0.9780791448381909,0.4,0.9566967486547094,0.4,0.935781806326021,0.4,0.9153240985528253,0.4,0.8952594115623355,0.4,0.8756875890507908,0.4,0.8565436383174998,0.4,0.8378182053915423,0.4,0.8194525138592275,0.4,0.8015379530618121,0.4,0.7840150336141227,0.4,0.7668751936011593,0.4,0.71762785389471,0.4,0.6425019984622148,0.4,0.5752059610709069,0.4
