Date,PX_LAST
20-Mar-2013,89.5
21-Mar-2013,91.375
22-Mar-2013,90.183
25-Mar-2013,91
26-Mar-2013,90.5
27-Mar-2013,92.375
28-Mar-2013,90.75
1-Apr-2013,89.934
2-Apr-2013,87.5
3-Apr-2013,89.219
4-Apr-2013,87.875
5-Apr-2013,87.125
8-Apr-2013,85.438
9-Apr-2013,84.75
10-Apr-2013,82
11-Apr-2013,81.501
12-Apr-2013,82
15-Apr-2013,85.25
16-Apr-2013,81.751
17-Apr-2013,84
18-Apr-2013,85.25
19-Apr-2013,83.751
22-Apr-2013,82.094
23-Apr-2013,80.625
24-Apr-2013,80
25-Apr-2013,79
26-Apr-2013,78.188
29-Apr-2013,76.25
30-Apr-2013,75
1-May-2013,77.75
2-May-2013,74.188
3-May-2013,71.532
6-May-2013,70.643
7-May-2013,68.75
8-May-2013,69
9-May-2013,70.938
10-May-2013,72
13-May-2013,73.375
14-May-2013,72.75
15-May-2013,71.475
16-May-2013,71.5
17-May-2013,70.416
20-May-2013,71
21-May-2013,70.125
22-May-2013,71.563
23-May-2013,73.375
24-May-2013,75.813
28-May-2013,75.75
29-May-2013,77
30-May-2013,76.344
31-May-2013,79.25
3-Jun-2013,78.771
4-Jun-2013,81.75
5-Jun-2013,86.001
6-Jun-2013,83.3
7-Jun-2013,81.001
10-Jun-2013,83.751
11-Jun-2013,85.5
12-Jun-2013,87.375
13-Jun-2013,81.958
14-Jun-2013,84.063
17-Jun-2013,82.001
18-Jun-2013,81.984
19-Jun-2013,87.937
20-Jun-2013,93.343
21-Jun-2013,94.001
24-Jun-2013,97.563
25-Jun-2013,92.063
26-Jun-2013,88
27-Jun-2013,86.001
28-Jun-2013,86.75
1-Jul-2013,84.5
2-Jul-2013,86
3-Jul-2013,85.125
5-Jul-2013,86.5
8-Jul-2013,82.688
9-Jul-2013,81.625
10-Jul-2013,81.328
11-Jul-2013,78.25
12-Jul-2013,78.032
15-Jul-2013,77.001
16-Jul-2013,78.001
17-Jul-2013,76.188
18-Jul-2013,74.501
19-Jul-2013,72.593
22-Jul-2013,72.782
23-Jul-2013,75.001
24-Jul-2013,76.282
25-Jul-2013,76.375
26-Jul-2013,74.438
29-Jul-2013,75.906
30-Jul-2013,75.531
31-Jul-2013,74.938
1-Aug-2013,74.375
2-Aug-2013,72.75
5-Aug-2013,72.838
6-Aug-2013,74.5
7-Aug-2013,76.251
8-Aug-2013,75.188
9-Aug-2013,75.376
12-Aug-2013,75.688
13-Aug-2013,75.25
14-Aug-2013,75.5
15-Aug-2013,79.625
16-Aug-2013,81.594
19-Aug-2013,84.25
20-Aug-2013,82.25
21-Aug-2013,84.375
22-Aug-2013,80.75
23-Aug-2013,78.875
26-Aug-2013,79.626
27-Aug-2013,84
28-Aug-2013,83.438
29-Aug-2013,82.563
30-Aug-2013,84.001
3-Sep-2013,83.563
4-Sep-2013,82.75
5-Sep-2013,83.625
6-Sep-2013,82
9-Sep-2013,78.875
10-Sep-2013,78
11-Sep-2013,76.126
12-Sep-2013,77.688
13-Sep-2013,77.125
16-Sep-2013,74.376
17-Sep-2013,72.938
18-Sep-2013,69.76
19-Sep-2013,69.875
20-Sep-2013,71.188
23-Sep-2013,71.438
24-Sep-2013,70.125
25-Sep-2013,71.094
26-Sep-2013,71.032
27-Sep-2013,72.177
30-Sep-2013,73.641
1-Oct-2013,71.014
2-Oct-2013,71.094
