Date,PX_LAST
6-Oct-2014,67.758
7-Oct-2014,69.715
8-Oct-2014,66.95
9-Oct-2014,70.371
10-Oct-2014,71.843
13-Oct-2014,71.674
14-Oct-2014,72.775
15-Oct-2014,73.985
16-Oct-2014,73.621
17-Oct-2014,70.393
20-Oct-2014,69.343
21-Oct-2014,66.052
22-Oct-2014,68.113
23-Oct-2014,65.967
24-Oct-2014,64.901
27-Oct-2014,64.99
28-Oct-2014,64.457
29-Oct-2014,65.632
30-Oct-2014,65.814
31-Oct-2014,63.982
3-Nov-2014,64.227
4-Nov-2014,65.415
5-Nov-2014,64.83
6-Nov-2014,64.932
7-Nov-2014,65.576
10-Nov-2014,64.498
11-Nov-2014,64.138
12-Nov-2014,64.394
13-Nov-2014,65.042
14-Nov-2014,65.489
17-Nov-2014,66.461
18-Nov-2014,67.184
19-Nov-2014,66.643
20-Nov-2014,66.376
21-Nov-2014,63.75
24-Nov-2014,61.325
25-Nov-2014,60.731
26-Nov-2014,60.3
27-Nov-2014,60.24
28-Nov-2014,61.148
1-Dec-2014,62.818
2-Dec-2014,62.134
3-Dec-2014,61.55
4-Dec-2014,61.8
5-Dec-2014,62.42
8-Dec-2014,64.556
9-Dec-2014,64.707
10-Dec-2014,68.423
11-Dec-2014,68.81
12-Dec-2014,72.597
15-Dec-2014,74.448
16-Dec-2014,76.127
17-Dec-2014,69.678
18-Dec-2014,65.064
19-Dec-2014,64.479
22-Dec-2014,64.984
23-Dec-2014,64.473
24-Dec-2014,64.339
25-Dec-2014,64.323
26-Dec-2014,64.286
29-Dec-2014,65.641
30-Dec-2014,66.264
31-Dec-2014,66.327
1-Jan-2015,66.353
2-Jan-2015,67.022
5-Jan-2015,69.344
6-Jan-2015,71.657
7-Jan-2015,70.049
8-Jan-2015,68.503
9-Jan-2015,69.347
12-Jan-2015,70.859
13-Jan-2015,71.502
14-Jan-2015,71.5
15-Jan-2015,73.182
16-Jan-2015,71.934
19-Jan-2015,71.692
20-Jan-2015,72.123
21-Jan-2015,69.955
22-Jan-2015,68.043
23-Jan-2015,67.768
26-Jan-2015,65.783
27-Jan-2015,66.935
28-Jan-2015,68.329
29-Jan-2015,67.782
30-Jan-2015,69.361
2-Feb-2015,68.302
3-Feb-2015,65.965
4-Feb-2015,67.87
5-Feb-2015,66.349
6-Feb-2015,66.452
9-Feb-2015,66.66
10-Feb-2015,66.289
11-Feb-2015,66.733
12-Feb-2015,66.071
13-Feb-2015,65.637
16-Feb-2015,65.418
17-Feb-2015,65.228
18-Feb-2015,64.028
19-Feb-2015,64.245
20-Feb-2015,63.445
23-Feb-2015,63.553
24-Feb-2015,61.993
25-Feb-2015,61.75
26-Feb-2015,61.522
27-Feb-2015,61.251
2-Mar-2015,60.774
3-Mar-2015,61.758
4-Mar-2015,61.684
5-Mar-2015,60.126
6-Mar-2015,61.937
9-Mar-2015,63.599
10-Mar-2015,65.124
11-Mar-2015,65.256
12-Mar-2015,63.975
13-Mar-2015,65.824
16-Mar-2015,65.213
17-Mar-2015,65.07
18-Mar-2015,62.18
19-Mar-2015,63.541
20-Mar-2015,62.297
23-Mar-2015,62.482
24-Mar-2015,62.526
25-Mar-2015,64.3
26-Mar-2015,64.098
27-Mar-2015,64.342
30-Mar-2015,63.73
31-Mar-2015,63.383
1-Apr-2015,62.943
2-Apr-2015,61.916
3-Apr-2015,62.677
6-Apr-2015,60.703
7-Apr-2015,59.889
8-Apr-2015,60.152
9-Apr-2015,60.238
10-Apr-2015,60.392
13-Apr-2015,61.62
14-Apr-2015,61.494
15-Apr-2015,60.349
16-Apr-2015,61.273
17-Apr-2015,63.098
20-Apr-2015,62.17
21-Apr-2015,61.75
22-Apr-2015,61.136
23-Apr-2015,61.014
24-Apr-2015,60.998
27-Apr-2015,60.722
28-Apr-2015,60.913
29-Apr-2015,62.385
30-Apr-2015,63.131
1-May-2015,62.512
4-May-2015,62.458
5-May-2015,63.437
6-May-2015,65.172
7-May-2015,65.489
8-May-2015,63.334
11-May-2015,64.435
12-May-2015,64.521
13-May-2015,64.837
14-May-2015,63.631
15-May-2015,62.698
18-May-2015,63.203
19-May-2015,63.465
20-May-2015,63.89
21-May-2015,63.106
22-May-2015,63.189
26-May-2015,63.524
27-May-2015,62.385
28-May-2015,63.355
29-May-2015,63.251
1-Jun-2015,63.101
2-Jun-2015,63.252
3-Jun-2015,64.553
4-Jun-2015,65.52
5-Jun-2015,65.998
8-Jun-2015,67.388
9-Jun-2015,66.967
10-Jun-2015,65.221
11-Jun-2015,64.966
12-Jun-2015,66.768
15-Jun-2015,69.133
16-Jun-2015,68.216
17-Jun-2015,68.773
18-Jun-2015,67.381
19-Jun-2015,67.212
22-Jun-2015,64.383
23-Jun-2015,64.47
24-Jun-2015,66.022
25-Jun-2015,66.135
26-Jun-2015,66.308
29-Jun-2015,70.934
30-Jun-2015,68.975
1-Jul-2015,67.567
2-Jul-2015,67.2
6-Jul-2015,70.477
7-Jul-2015,70.22
8-Jul-2015,71.65
9-Jul-2015,71.009
10-Jul-2015,67.483
13-Jul-2015,65.9
14-Jul-2015,65.367
15-Jul-2015,65.167
16-Jul-2015,63.232
17-Jul-2015,63.743
20-Jul-2015,64.014
21-Jul-2015,64.633
22-Jul-2015,66.535
23-Jul-2015,67.88
24-Jul-2015,69.773
27-Jul-2015,70.898
28-Jul-2015,68.825
29-Jul-2015,68.196
30-Jul-2015,69.056
31-Jul-2015,68.205
3-Aug-2015,69.736
4-Aug-2015,70.307
5-Aug-2015,70.077
7-Aug-2015,73.649
10-Aug-2015,71.948
11-Aug-2015,73.613
12-Aug-2015,74.223
13-Aug-2015,74.691
14-Aug-2015,74.818
17-Aug-2015,74.778
18-Aug-2015,76.185
19-Aug-2015,76.95
20-Aug-2015,78.497
21-Aug-2015,80.679
24-Aug-2015,85.867
25-Aug-2015,84.574
26-Aug-2015,81.082
27-Aug-2015,77.416
28-Aug-2015,78.157
31-Aug-2015,79.718
1-Sep-2015,82.367
2-Sep-2015,81.056
3-Sep-2015,79.688
4-Sep-2015,81.205
8-Sep-2015,77.358
9-Sep-2015,78.483
10-Sep-2015,77.278
11-Sep-2015,77.078
14-Sep-2015,77.359
15-Sep-2015,76.476
16-Sep-2015,74.967
17-Sep-2015,73.96
18-Sep-2015,75.484
