CloseDate,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,11Y,12Y,15Y,20Y,25Y,30Y,40Y,50Y,CreditIndexName,QuotedSpread
20-MAR-2014,0.005502,0.005525,0.009875,0.014255,0.018,0.02117,0.023725,0.025795,0.027495,0.02892,0.030085,0.031185,0.03341,0.03526,0.036045,0.036453,0.03672,0.036869,CDX.NA.IG.S22.5Y,0.007137500000000001
21-MAR-2014,0.005595,0.005618,0.010023,0.01431,0.017995,0.021083,0.02357,0.025571,0.027223,0.028588,0.029717,0.030783,0.032925,0.034685,0.035448,0.035793,0.036045,0.036185,CDX.NA.IG.S22.5Y,0.007075100000000001
24-MAR-2014,0.00575,0.005775,0.01028,0.01456,0.018195,0.021215,0.02361,0.025556,0.027133,0.02846,0.02955,0.03058,0.032655,0.03436,0.035093,0.035433,0.035677,0.035813,CDX.NA.IG.S22.5Y,0.0071817
25-MAR-2014,0.005678,0.005702,0.01019,0.014535,0.018233,0.021286,0.02376,0.025722,0.027338,0.02869,0.0298,0.03085,0.032928,0.034645,0.035375,0.035705,0.035951,0.036088,CDX.NA.IG.S22.5Y,0.007131300000000001
26-MAR-2014,0.005497,0.00552,0.009898,0.014108,0.017745,0.020778,0.02321,0.025175,0.026763,0.028135,0.029242,0.030285,0.032385,0.034125,0.03488,0.035218,0.035464,0.035602,CDX.NA.IG.S22.5Y,0.007200000000000001
27-MAR-2014,0.005605,0.005628,0.010113,0.01433,0.017948,0.02094,0.02327,0.02517,0.02673,0.028035,0.029125,0.030153,0.032213,0.033955,0.034693,0.035048,0.035291,0.035427,CDX.NA.IG.S22.5Y,0.007113500000000001
28-MAR-2014,0.005689,0.005713,0.010318,0.014625,0.01827,0.021257,0.02364,0.025555,0.02711,0.028415,0.029484,0.030495,0.03252,0.034215,0.034925,0.03524,0.035477,0.03561,CDX.NA.IG.S22.5Y,0.007040000000000001
31-MAR-2014,0.005428,0.00545,0.009918,0.01432,0.018025,0.02108,0.023555,0.025485,0.02708,0.02842,0.029508,0.030535,0.03261,0.03433,0.03508,0.035415,0.03566,0.035797,CDX.NA.IG.S22.5Y,0.0069094
01-APR-2014,0.005487,0.00551,0.010003,0.01441,0.0182,0.02132,0.023818,0.0258,0.02741,0.028773,0.029879,0.030925,0.033033,0.034805,0.035568,0.035913,0.036165,0.036306,CDX.NA.IG.S22.5Y,0.006750100000000001
02-APR-2014,0.005706,0.00573,0.01041,0.01496,0.018775,0.0219,0.024365,0.026303,0.0279,0.029235,0.030331,0.03137,0.03346,0.03521,0.03597,0.03631,0.036562,0.036702,CDX.NA.IG.S22.5Y,0.006740600000000001
03-APR-2014,0.00575,0.005775,0.0105,0.01507,0.01888,0.021958,0.024398,0.0263,0.02788,0.029195,0.030269,0.031288,0.033358,0.03508,0.03583,0.036168,0.036415,0.036553,CDX.NA.IG.S22.5Y,0.0066942
04-APR-2014,0.005362,0.005384,0.009923,0.01427,0.01793,0.021008,0.023463,0.025425,0.027038,0.028348,0.029487,0.03056,0.032685,0.034518,0.035326,0.035703,0.03596,0.036104,CDX.NA.IG.S22.5Y,0.0067189
07-APR-2014,0.005239,0.00526,0.009715,0.01407,0.017775,0.020845,0.0233,0.025275,0.02685,0.028203,0.029308,0.03035,0.032485,0.0343,0.0351,0.035465,0.03572,0.035862,CDX.NA.IG.S22.5Y,0.0067969
08-APR-2014,0.005264,0.005285,0.009725,0.014015,0.01767,0.020709,0.02313,0.02505,0.026644,0.02799,0.029097,0.03014,0.03227,0.03408,0.034893,0.03527,0.035525,0.035668,CDX.NA.IG.S22.5Y,0.0067643
09-APR-2014,0.004946,0.004965,0.009208,0.013513,0.0172,0.020343,0.02287,0.024928,0.026594,0.02803,0.029178,0.030258,0.032453,0.034345,0.035188,0.03558,0.035846,0.035994,CDX.NA.IG.S22.5Y,0.0065125
10-APR-2014,0.00488,0.004899,0.009115,0.013345,0.01701,0.02009,0.02259,0.02462,0.02628,0.0277,0.028819,0.02987,0.032025,0.03387,0.034685,0.03507,0.035328,0.035472,CDX.NA.IG.S22.5Y,0.0067725
11-APR-2014,0.004889,0.004908,0.009043,0.013194,0.016853,0.01991,0.022388,0.024411,0.026053,0.027428,0.028542,0.029588,0.031713,0.033514,0.034318,0.034683,0.034934,0.035075,CDX.NA.IG.S22.5Y,0.0069500000000000004
14-APR-2014,0.00504,0.00506,0.009302,0.013523,0.017203,0.020233,0.022685,0.024675,0.026295,0.027665,0.028755,0.02978,0.03186,0.033645,0.034433,0.03479,0.035039,0.035178,CDX.NA.IG.S22.5Y,0.0068315
15-APR-2014,0.005075,0.005095,0.009445,0.013675,0.017305,0.02028,0.02268,0.02459,0.026187,0.02751,0.028587,0.0296,0.03166,0.03342,0.03419,0.03454,0.034784,0.034921,CDX.NA.IG.S22.5Y,0.0068875
