DATE,TOK,EWJ,HYG,LQD,EMD,GSG,BWX
10-Jan,0.01770,0.01000,0.01860,0.00510,0.00850,0.05920,0.00240
9-Dec,-0.05280,0.01130,-0.01830,0.01250,-0.00540,-0.08110,-0.01450
9-Nov,0.02130,0.02780,0.03690,-0.02080,-0.00590,0.00980,-0.05280
9-Oct,0.05480,0.00120,0.01680,0.01960,0.00350,0.01290,0.03020
9-Sep,-0.02550,-0.04000,-0.00530,-0.00500,-0.00970,0.04820,0.00130
9-Aug,0.04940,-0.02710,0.05810,0.01760,0.04680,-0.02370,0.02860
9-Jul,0.03500,0.03590,-0.01700,0.01310,0.01960,0.00430,0.00770
9-Jun,0.09730,0.04570,0.06910,0.04640,0.02590,0.00730,0.03140
9-May,-0.00550,0.01190,0.03350,0.02890,0.00430,-0.00230,0.00510
9-Apr,0.08770,0.10200,0.02850,0.02310,0.02250,0.21500,0.05360
9-Mar,0.11710,0.07750,0.13860,0.02780,0.07070,-0.01550,0.00910
9-Feb,0.06350,0.07090,0.01900,0.00470,0.04480,0.04570,0.04760
9-Jan,-0.08420,-0.12530,-0.09720,-0.05210,-0.06130,-0.06120,-0.03350
8-Dec,-0.10640,-0.11960,-0.01000,-0.01800,-0.06960,-0.10350,-0.06700
8-Nov,0.05390,0.11530,0.16750,0.13820,0.16500,-0.11180,0.08630
8-Oct,-0.09840,-0.03860,-0.07080,0.03360,0.08900,-0.14880,0.02620
8-Sep,-0.18010,-0.15560,-0.11460,-0.01950,-0.19770,-0.29670,-0.05040
8-Aug,-0.11110,-0.06580,-0.10650,-0.10730,-0.07560,-0.10440,-0.02260
8-Jul,-0.00910,-0.04860,-0.00910,0.00150,0.00280,-0.07480,-0.04290
8-Jun,-0.02560,-0.03780,0.00600,0.00400,0.00400,-0.13320,0.01460
8-May,-0.08360,-0.07490,-0.03680,-0.01300,-0.02420,0.10320,-0.00430
8-Apr,0.00980,0.01950,-0.00520,-0.02200,-0.00330,0.08470,-0.01490
8-Mar,0.05830,0.07380,0.03410,0.01240,0.00700,0.08190,-0.02340
8-Feb,0.00300,-0.01260,0.00930,-0.00600,-0.00330,-0.00940,0.02830
8-Jan,-0.01640,-0.01510,-0.01860,-0.00700,-0.00870,0.11260,0.03110
