FirstDate,SecondDate,CreditLabel,Horizon,TotalPnL,MarketShiftPnL,RollDownPnL,AccrualPnL,ExplainedPnL,UnexplainedPnL,FixedCoupon,FirstFairPremium,SecondFairPremium,RollDownFairPremium,CleanFixedDV01
20-MAR-2014, 21-MAR-2014, CDX.NA.IG.S22, 1, 03.2932,  03.0684,  0.0000,  0.2778,  03.3461, -0.0529,  100.00,  71.3750,  70.7510,  71.3748,  4.9182
21-MAR-2014, 24-MAR-2014, CDX.NA.IG.S22, 1,-04.7547, -05.2342,  0.0000,  0.8333, -04.4009, -0.3538,  100.00,  70.7510,  71.8170,  70.7503,  4.9163
24-MAR-2014, 25-MAR-2014, CDX.NA.IG.S22, 1, 02.7245,  02.4714,  0.0000,  0.2778,  02.7492, -0.0247,  100.00,  71.8170,  71.3130,  71.8168,  4.9040
25-MAR-2014, 26-MAR-2014, CDX.NA.IG.S22, 1,-03.0615, -03.3688,  0.0000,  0.2778, -03.0910,  0.0295,  100.00,  71.3130,  72.0000,  71.3128,  4.9031
26-MAR-2014, 27-MAR-2014, CDX.NA.IG.S22, 1, 04.4436,  04.2410,  0.0000,  0.2778,  04.5188, -0.0752,  100.00,  72.0000,  71.1350,  71.9998,  4.9042
27-MAR-2014, 28-MAR-2014, CDX.NA.IG.S22, 1, 03.7650,  03.6012,  0.0000,  0.2778,  03.8790, -0.1140,  100.00,  71.1350,  70.4000,  71.1348,  4.9015
28-MAR-2014, 31-MAR-2014, CDX.NA.IG.S22, 1, 07.2083,  06.3959,  0.0000,  0.8333,  07.2292, -0.0209,  100.00,  70.4000,  69.0940,  70.3993,  4.8976
31-MAR-2014, 01-APR-2014, CDX.NA.IG.S22, 1, 08.0647,  07.8005,  0.0000,  0.2778,  08.0783, -0.0136,  100.00,  69.0940,  67.5010,  69.0938,  4.8969
01-APR-2014, 02-APR-2014, CDX.NA.IG.S22, 1, 00.4803,  00.4648,  0.0000,  0.2778,  00.7426, -0.2623,  100.00,  67.5010,  67.4060,  67.5008,  4.8965
02-APR-2014, 03-APR-2014, CDX.NA.IG.S22, 1, 02.4754,  02.2677,  0.0000,  0.2778,  02.5455, -0.0702,  100.00,  67.4060,  66.9420,  67.4058,  4.8885
03-APR-2014, 04-APR-2014, CDX.NA.IG.S22, 1,-00.7198, -01.2077,  0.0000,  0.2778, -00.9299,  0.2102,  100.00,  66.9420,  67.1890,  66.9418,  4.8863
04-APR-2014, 07-APR-2014, CDX.NA.IG.S22, 1,-03.1969, -03.8137,  0.0000,  0.8333, -02.9804, -0.2165,  100.00,  67.1890,  67.9690,  67.1884,  4.8927
07-APR-2014, 08-APR-2014, CDX.NA.IG.S22, 1, 01.8336,  01.5927,  0.0000,  0.2778,  01.8704, -0.0368,  100.00,  67.9690,  67.6430,  67.9688,  4.8860
08-APR-2014, 09-APR-2014, CDX.NA.IG.S22, 1, 12.8842,  12.3112,  0.0000,  0.2778,  12.5890,  0.2953,  100.00,  67.6430,  65.1250,  67.6428,  4.8849
09-APR-2014, 10-APR-2014, CDX.NA.IG.S22, 1,-12.6254, -12.7163,  0.0000,  0.2778, -12.4385, -0.1869,  100.00,  65.1250,  67.7250,  65.1248,  4.8937
10-APR-2014, 11-APR-2014, CDX.NA.IG.S22, 1,-08.5412, -08.6722,  0.0000,  0.2778, -08.3944, -0.1467,  100.00,  67.7250,  69.5000,  67.7248,  4.8881
11-APR-2014, 14-APR-2014, CDX.NA.IG.S22, 1, 06.3502,  05.7818,  0.0000,  0.8333,  06.6151, -0.2649,  100.00,  69.5000,  68.3150,  69.4993,  4.8834
14-APR-2014, 15-APR-2014, CDX.NA.IG.S22, 1,-02.6042, -02.7286,  0.0000,  0.2778, -02.4508, -0.1534,  100.00,  68.3150,  68.8750,  68.3148,  4.8749
15-APR-2014, 16-APR-2014, CDX.NA.IG.S22, 1, 03.1826,  03.0424,  0.0000,  0.2778,  03.3202, -0.1376,  100.00,  68.8750,  68.2500,  68.8748,  4.8700
16-APR-2014, 17-APR-2014, CDX.NA.IG.S22, 1, 02.7599,  02.7323,  0.0000,  0.2778,  03.0101, -0.2501,  100.00,  68.2500,  67.6880,  68.2498,  4.8656
17-APR-2014, 21-APR-2014, CDX.NA.IG.S22, 1, 04.9807,  04.0683,  0.0000,  1.1111,  05.1794, -0.1987,  100.00,  67.6880,  66.8500,  67.6872,  4.8578
21-APR-2014, 22-APR-2014, CDX.NA.IG.S22, 1, 07.0952,  06.8500,  0.0000,  0.2778,  07.1278, -0.0326,  100.00,  66.8500,  65.4380,  66.8498,  4.8518
