FirstDate,SecondDate,CreditLabel,Horizon,TotalPnL,MarketShiftPnL,RollDownPnL,AccrualPnL,ExplainedPnL,UnexplainedPnL,FixedCoupon,FirstFairPremium,SecondFairPremium,RollDownFairPremium,CleanFixedDV01
21-SEP-2015, 22-SEP-2015, CDX.NA.IG.S25, 1,-09.0211, -09.3114,  0.0000,  0.2778, -09.0336,  0.0125,  100.00,  81.2500,  83.1500,  81.2502,  4.9004
22-SEP-2015, 23-SEP-2015, CDX.NA.IG.S25, 1,-05.4960, -05.6718,  0.0000,  0.2778, -05.3940, -0.1020,  100.00,  83.1500,  84.3080,  83.1502,  4.9011
23-SEP-2015, 24-SEP-2015, CDX.NA.IG.S25, 1,-08.4337, -08.6608,  0.0000,  0.2778, -08.3830, -0.0507,  100.00,  84.3080,  86.0780,  84.3082,  4.8948
24-SEP-2015, 25-SEP-2015, CDX.NA.IG.S25, 1,-11.0590, -11.2255,  0.0000,  0.2778, -10.9477, -0.1112,  100.00,  86.0780,  88.3750,  86.0782,  4.8914
25-SEP-2015, 28-SEP-2015, CDX.NA.IG.S25, 1,-19.4946, -20.2388,  0.0000,  0.8333, -19.4055, -0.0891,  100.00,  88.3750,  92.5240,  88.3757,  4.8827
28-SEP-2015, 29-SEP-2015, CDX.NA.IG.S25, 1,-01.1868, -01.4719,  0.0000,  0.2778, -01.1941,  0.0073,  100.00,  92.5240,  92.8260,  92.5242,  4.8733
29-SEP-2015, 30-SEP-2015, CDX.NA.IG.S25, 1,-03.5173, -03.7714,  0.0000,  0.2778, -03.4936, -0.0237,  100.00,  92.8260,  93.6000,  92.8262,  4.8743
30-SEP-2015, 01-OCT-2015, CDX.NA.IG.S25, 1,-03.4196, -03.6502,  0.0000,  0.2778, -03.3724, -0.0472,  100.00,  93.6000,  94.3500,  93.6002,  4.8709
01-OCT-2015, 02-OCT-2015, CDX.NA.IG.S25, 1, 09.3497,  09.0016,  0.0000,  0.2778,  09.2794,  0.0703,  100.00,  94.3500,  92.5010,  94.3502,  4.8630
02-OCT-2015, 05-OCT-2015, CDX.NA.IG.S25, 1, 26.3978,  25.5862,  0.0000,  0.8333,  26.4195, -0.0218,  100.00,  92.5010,  87.2500,  92.5017,  4.8737
05-OCT-2015, 06-OCT-2015, CDX.NA.IG.S25, 1,-04.0460, -04.3008,  0.0000,  0.2778, -04.0230, -0.0230,  100.00,  87.2500,  88.1330,  87.2502,  4.8716
