FirstDate,SecondDate,CreditLabel,Horizon,TotalPnL,MarketShiftPnL,RollDownPnL,AccrualPnL,ExplainedPnL,UnexplainedPnL,FixedCoupon,FirstFairPremium,SecondFairPremium,RollDownFairPremium,CleanFixedDV01
09-SEP-2011, 12-SEP-2011, CDX.NA.IG.S15, 1,-16.9299, -18.1343,  0.0000,  0.8333, -17.3010,  0.3711,  100.00,  120.7500,  125.2500,  120.7492,  4.0379
12-SEP-2011, 13-SEP-2011, CDX.NA.IG.S15, 1, 14.3005,  14.0805,  0.0000,  0.2778,  14.3583, -0.0579,  100.00,  125.2500,  121.7500,  125.2497,  4.0218
13-SEP-2011, 14-SEP-2011, CDX.NA.IG.S15, 1, 07.2973,  07.0434,  0.0000,  0.2778,  07.3212, -0.0239,  100.00,  121.7500,  120.0000,  121.7497,  4.0242
14-SEP-2011, 15-SEP-2011, CDX.NA.IG.S15, 1, 17.3394,  17.1141,  0.0000,  0.2778,  17.3919, -0.0525,  100.00,  120.0000,  115.7500,  119.9997,  4.0254
15-SEP-2011, 16-SEP-2011, CDX.NA.IG.S15, 1,-03.7012, -04.0269,  0.0000,  0.2778, -03.7491,  0.0478,  100.00,  115.7500,  116.7500,  115.7497,  4.0283
16-SEP-2011, 19-SEP-2011, CDX.NA.IG.S15, 1,-06.1002, -07.0392,  0.0000,  0.8333, -06.2058,  0.1057,  100.00,  116.7500,  118.5000,  116.7492,  4.0254
19-SEP-2011, 20-SEP-2011, CDX.NA.IG.S15, 1, 00.3088,  00.0000,  0.0000,  0.2778,  00.2778,  0.0311,  100.00,  118.5000,  118.5000,  118.4997,  4.0194
20-SEP-2011, 21-SEP-2011, CDX.NA.IG.S15, 1,-24.5012, -25.0688,  0.0000,  0.2778, -24.7910,  0.2898,  100.00,  118.5000,  124.7500,  118.5003,  4.0177
21-SEP-2011, 22-SEP-2011, CDX.NA.IG.S15, 1,-17.5092, -18.0015,  0.0000,  0.2778, -17.7237,  0.2145,  100.00,  124.7500,  129.2500,  124.7504,  4.0043
22-SEP-2011, 23-SEP-2011, CDX.NA.IG.S15, 1,-13.3837, -13.9699,  0.0000,  0.2778, -13.6921,  0.3083,  100.00,  129.2500,  132.7500,  129.2504,  3.9964
23-SEP-2011, 26-SEP-2011, CDX.NA.IG.S15, 1, 41.5667,  40.8898,  0.0000,  0.8333,  41.7231, -0.1564,  100.00,  132.7500,  122.5000,  132.7512,  3.9864
26-SEP-2011, 27-SEP-2011, CDX.NA.IG.S15, 1,-01.6005, -01.9948,  0.0000,  0.2778, -01.7170,  0.1165,  100.00,  122.5000,  123.0000,  122.5004,  3.9921
27-SEP-2011, 28-SEP-2011, CDX.NA.IG.S15, 1,-19.3565, -19.9079,  0.0000,  0.2778, -19.6302,  0.2737,  100.00,  123.0000,  128.0000,  123.0004,  3.9870
28-SEP-2011, 29-SEP-2011, CDX.NA.IG.S15, 1, 09.2534,  08.9452,  0.0000,  0.2778,  09.2230,  0.0304,  100.00,  128.0000,  125.7500,  128.0004,  3.9762
29-SEP-2011, 30-SEP-2011, CDX.NA.IG.S15, 1,-23.2254, -23.8177,  0.0000,  0.2778, -23.5400,  0.3146,  100.00,  125.7500,  131.7500,  125.7504,  3.9751
30-SEP-2011, 03-OCT-2011, CDX.NA.IG.S15, 1,-28.2441, -29.6687,  0.0000,  0.8333, -28.8353,  0.5913,  100.00,  131.7500,  139.2500,  131.7513,  3.9642
03-OCT-2011, 04-OCT-2011, CDX.NA.IG.S15, 1, 09.2679,  08.8786,  0.0000,  0.2778,  09.1564,  0.1115,  100.00,  139.2500,  137.0000,  139.2505,  3.9475
04-OCT-2011, 05-OCT-2011, CDX.NA.IG.S15, 1, 14.0843,  13.8060,  0.0000,  0.2778,  14.0837,  0.0006,  100.00,  137.0000,  133.5000,  137.0005,  3.9446
05-OCT-2011, 06-OCT-2011, CDX.NA.IG.S15, 1, 27.7474,  27.6307,  0.0000,  0.2778,  27.9084, -0.1610,  100.00,  133.5000,  126.5000,  133.5005,  3.9446
06-OCT-2011, 07-OCT-2011, CDX.NA.IG.S15, 1,-00.5262, -00.9866,  0.0000,  0.2778, -00.7088,  0.1827,  100.00,  126.5000,  126.7500,  126.5004,  3.9499
07-OCT-2011, 11-OCT-2011, CDX.NA.IG.S15, 1, 16.0561,  14.7736,  0.0000,  1.1111,  15.8847,  0.1714,  100.00,  126.7500,  123.0000,  126.7519,  3.9431
11-OCT-2011, 12-OCT-2011, CDX.NA.IG.S15, 1, 19.8408,  19.6972,  0.0000,  0.2778,  19.9750, -0.1342,  100.00,  123.0000,  118.0000,  123.0004,  3.9362
12-OCT-2011, 13-OCT-2011, CDX.NA.IG.S15, 1,-08.5006, -08.8660,  0.0000,  0.2778, -08.5882,  0.0876,  100.00,  118.0000,  120.2500,  118.0004,  3.9427
13-OCT-2011, 14-OCT-2011, CDX.NA.IG.S15, 1, 05.2153,  04.9222,  0.0000,  0.2778,  05.2000,  0.0153,  100.00,  120.2500,  119.0000,  120.2504,  3.9381
14-OCT-2011, 17-OCT-2011, CDX.NA.IG.S15, 1,-19.0436, -20.1469,  0.0000,  0.8333, -19.3136,  0.2699,  100.00,  119.0000,  124.1250,  119.0014,  3.9374
17-OCT-2011, 18-OCT-2011, CDX.NA.IG.S15, 1, 09.5622,  09.3235,  0.0000,  0.2778,  09.6013, -0.0391,  100.00,  124.1250,  121.7500,  124.1255,  3.9248
18-OCT-2011, 19-OCT-2011, CDX.NA.IG.S15, 1,-06.9902, -07.3585,  0.0000,  0.2778, -07.0808,  0.0906,  100.00,  121.7500,  123.6250,  121.7505,  3.9265
19-OCT-2011, 20-OCT-2011, CDX.NA.IG.S15, 1, 00.8261,  00.4902,  0.0000,  0.2778,  00.7679,  0.0582,  100.00,  123.6250,  123.5000,  123.6255,  3.9226
20-OCT-2011, 21-OCT-2011, CDX.NA.IG.S15, 1, 11.0506,  10.7807,  0.0000,  0.2778,  11.0585, -0.0079,  100.00,  123.5000,  120.7500,  123.5005,  3.9201
21-OCT-2011, 24-OCT-2011, CDX.NA.IG.S15, 1, 19.4743,  18.6193,  0.0000,  0.8333,  19.4526,  0.0217,  100.00,  120.7500,  116.0000,  120.7515,  3.9204
24-OCT-2011, 25-OCT-2011, CDX.NA.IG.S15, 1,-13.3955, -13.7135,  0.0000,  0.2778, -13.4357,  0.0402,  100.00,  116.0000,  119.5000,  116.0005,  3.9193
25-OCT-2011, 04-NOV-2011, CDX.NA.IG.S15, 1, 30.3177,  27.3851,  0.0000,  2.7778,  30.1629,  0.1548,  100.00,  119.5000,  112.5000,  119.5051,  3.9170
04-NOV-2011, 07-NOV-2011, CDX.NA.IG.S15, 1, 04.3348,  03.4158,  0.0000,  0.8333,  04.2491,  0.0857,  100.00,  112.5000,  111.6250,  112.5014,  3.9073
07-NOV-2011, 08-NOV-2011, CDX.NA.IG.S15, 1, 09.5436,  09.2627,  0.0000,  0.2778,  09.5405,  0.0031,  100.00,  111.6250,  109.2500,  111.6255,  3.9002
